,Abhi Na Jao Chhod Kar Hum Dono 320 Kbps,Ae Dil Hai Mushkil Title Track Pritam 320 Kbps,Agar Tum Saath Ho Tamasha 320 Kbps,Baarishein (PenduJatt.Com.Se),Hamari Adhuri Kahani (PenduJatt.Com.Se),Thodi Der Half Girlfriend 128 Kbps
Abhi Na Jao Chhod Kar Hum Dono 320 Kbps,0.0,5.331699518811753,4.501943983237727,4.430379681300186,5.608981222994377,7.614436421668278
Ae Dil Hai Mushkil Title Track Pritam 320 Kbps,5.331699518811753,0.0,4.272438212504323,5.151117403736322,2.4053747914510115,8.186490878142934
Agar Tum Saath Ho Tamasha 320 Kbps,4.501943983237727,4.272438212504323,0.0,4.3468890961983035,4.029401273123433,6.57051528985592
Baarishein (PenduJatt.Com.Se),4.430379681300186,5.151117403736322,4.3468890961983035,0.0,6.48636037340083,6.0753377878138455
Hamari Adhuri Kahani (PenduJatt.Com.Se),5.608981222994377,2.4053747914510115,4.029401273123433,6.48636037340083,0.0,9.50711086007092
Thodi Der Half Girlfriend 128 Kbps,7.614436421668278,8.186490878142934,6.57051528985592,6.0753377878138455,9.50711086007092,0.0
