,Abhi Toh Party Shuru Hui Hai Khoobsurat 320 Kbps,Badtameez Dil Yeh Jawaani Hai Deewani 320 Kbps,Gallan Goodiyaan Dil Dhadakne Do 320 Kbps,"Hookah Bar Remixed By Dj A. Sen, Dj Amann Nagpal Khiladi 786 320 Kbps",Kar Gayi Chull Kapoor And Sons 320 Kbps,Tauba Tauba Bad Newz 320 Kbps
Abhi Toh Party Shuru Hui Hai Khoobsurat 320 Kbps,0.0,22.340702834019396,24.780865851085892,30.280406184410662,26.045805754792227,25.738645079065094
Badtameez Dil Yeh Jawaani Hai Deewani 320 Kbps,22.340702834019396,0.0,11.229912050214894,13.189253866102076,12.405228098497943,15.658847079225428
Gallan Goodiyaan Dil Dhadakne Do 320 Kbps,24.780865851085892,11.229912050214894,0.0,13.594321495363126,11.359577436349243,15.497721061715
"Hookah Bar Remixed By Dj A. Sen, Dj Amann Nagpal Khiladi 786 320 Kbps",30.280406184410662,13.189253866102076,13.594321495363126,0.0,12.356324847213328,17.802461794007154
Kar Gayi Chull Kapoor And Sons 320 Kbps,26.045805754792227,12.405228098497943,11.359577436349243,12.356324847213328,0.0,10.010106328658575
Tauba Tauba Bad Newz 320 Kbps,25.738645079065094,15.658847079225428,15.497721061715,17.802461794007154,10.010106328658575,0.0
