,0.0,0.005,0.0101,0.0151,0.0201,0.0251,0.0302,0.0352,0.0402,0.0452,0.0503,0.0553,0.0603,0.0653,0.0704,0.0754,0.0804,0.0854,0.0905,0.0955,0.1005,0.1055,0.1106,0.1156,0.1206,0.1256,0.1307,0.1357,0.1407,0.1457,0.1508,0.1558,0.1608,0.1658,0.1709,0.1759,0.1809,0.1859,0.191,0.196,0.201,0.206,0.2111,0.2161,0.2211,0.2261,0.2312,0.2362,0.2412,0.2462,0.2513,0.2563,0.2613,0.2663,0.2714,0.2764,0.2814,0.2864,0.2915,0.2965,0.3015,0.3065,0.3116,0.3166,0.3216,0.3266,0.3317,0.3367,0.3417,0.3467,0.3518,0.3568,0.3618,0.3668,0.3719,0.3769,0.3819,0.3869,0.392,0.397,0.402,0.407,0.4121,0.4171,0.4221,0.4271,0.4322,0.4372,0.4422,0.4472,0.4523,0.4573,0.4623,0.4673,0.4724,0.4774,0.4824,0.4874,0.4925,0.4975,0.5025,0.5075,0.5126,0.5176,0.5226,0.5276,0.5327,0.5377,0.5427,0.5477,0.5528,0.5578,0.5628,0.5678,0.5729,0.5779,0.5829,0.5879,0.593,0.598,0.603,0.608,0.6131,0.6181,0.6231,0.6281,0.6332,0.6382,0.6432,0.6482,0.6533,0.6583,0.6633,0.6683,0.6734,0.6784,0.6834,0.6884,0.6935,0.6985,0.7035,0.7085,0.7136,0.7186,0.7236,0.7286,0.7337,0.7387,0.7437,0.7487,0.7538,0.7588,0.7638,0.7688,0.7739,0.7789,0.7839,0.7889,0.794,0.799,0.804,0.809,0.8141,0.8191,0.8241,0.8291,0.8342,0.8392,0.8442,0.8492,0.8543,0.8593,0.8643,0.8693,0.8744,0.8794,0.8844,0.8894,0.8945,0.8995,0.9045,0.9095,0.9146,0.9196,0.9246,0.9296,0.9347,0.9397,0.9447,0.9497,0.9548,0.9598,0.9648,0.9698,0.9749,0.9799,0.9849,0.9899,0.995,1.0
Abhi Toh Party Shuru Hui Hai Khoobsurat 320 Kbps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,3,3,4,3,3,4,6,5,5,5,5,5,5,6,6,6,5,4,3,3,4,6,8,8,8,9,9,11,12,11,11,11,11,11,12,12,12,10,12,13,13,16,17,16,18,17,17,17,18,19,18,17,17,16,17,17,16,15,19,20,21,19,19,20,22,22,24,26,24,23,25,23,21,21,23,22,23,23,23,22,23,23,23,23,23,24,23,25,26,25,22,22,24,22,23,24,23,22,21,19,19,19,20,19,17,18,17,19,21,22,25,25,25,28,30,27,27,27,26,27,26,25,25,23,21,21,21,21,23,24,25,26,24,24,23,24,27,27,30,31,32,32,32,32,30,30,32,32,33,36,37
Badtameez Dil Yeh Jawaani Hai Deewani 320 Kbps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,4,3,4,6,7,9,11,13,14,16,16,15,14,13,13,11,11,10,11,9,9,11,11,10,11,11,12,14,16,18,19,20,21,20,22,24,25,27,27,29,32,34,35,33,34,35,35,35,37,36,37,38,41,44,42,42,43,44,46,47,41,42,43,43,45,44,43,39,37,38,35,36,37,38,38,37,35,31,33,34,35,35,33,32,31,30,30,28,30,28,30,34,34,35,36,38,38,39,45,44,44,42,40,40,40,40,40,38,40,41,43,44,42,42,37,36,37,37,36,38,39,38,36,36,36,35,36,35,35,36,33,33,30,30,30,29,28,28,28,27,27,26,24,24,23,23,23,23,23,19,18
Gallan Goodiyaan Dil Dhadakne Do 320 Kbps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,4,4,4,5,5,6,7,5,6,8,8,8,8,9,10,10,9,10,13,14,12,13,15,13,13,14,14,17,19,20,21,22,20,22,23,22,24,24,26,27,25,24,23,25,25,24,19,19,20,19,16,17,17,15,17,20,18,18,21,22,22,27,29,28,27,30,32,34,33,34,35,40,44,46,50,51,55,58,59,63,64,67,67,66,66,67,69,69,70,72,74,73,76,75,76,74,73,70,70,67,63,62,62,60,60,55,55,53,50,49,44,42,38,34,33,33,33,29,29,26,22,20,20,18,16,13,10,10,10,9,7,7,6,5,4,3,2,2,3,2,2,2
"Hookah Bar Remixed By Dj A. Sen, Dj Amann Nagpal Khiladi 786 320 Kbps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,6,6,5,7,8,8,9,11,13,20,23,27,29,34,37,40,41,43,50,49,47,52,55,63,68,68,65,64,64,70,74,73,74,75,75,71,72,71,73,74,73,75,72,69,69,66,62,65,66,70,72,72,69,68,69,67,69,70,72,73,72,72,71,72,65,65,68,67,67,65,66,63,61,57,58,56,52,52,50,51,50,47,45,46,46,44,44,47,48,49,50,49,45,43,40,41,41,38,36,35,31,28,28,29,29,26,25,21,23,23,23,24,23,24,22,20,17,16,14,12,13,12,11,11,11,11,11,12,11,10,10,10,8,9,9
Kar Gayi Chull Kapoor And Sons 320 Kbps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,5,5,5,5,7,5,5,7,8,8,7,7,8,7,7,8,7,7,6,6,6,6,9,12,13,14,17,16,15,16,17,18,20,20,23,27,34,37,39,42,42,44,48,47,49,48,52,59,64,67,70,71,76,79,81,79,79,76,75,75,78,76,75,76,78,79,80,82,80,81,79,78,84,83,80,81,72,70,71,72,71,65,64,62,60,60,60,58,59,59,58,55,54,53,50,50,52,51,50,50,47,43,43,43,46,42,36,33,35,32,32,30,29,29,27,25,24,25,21,19,21,23,23,22,20,19,19,19,18,18,19,18,13,13,16
Tauba Tauba Bad Newz 320 Kbps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,3,4,5,4,6,8,9,10,14,13,13,16,18,18,21,20,22,24,26,28,29,32,31,31,33,34,38,39,42,44,49,50,51,52,53,54,57,58,65,63,66,67,68,69,70,68,70,70,68,69,70,69,70,68,63,65,68,70,69,69,69,72,69,71,69,77,74,70,71,69,71,65,65,63,62,62,61,60,59,57,60,60,61,64,65,62,62,63,64,66,66,64,62,61,56,52,53,54,55,53,52,52,53,52,54,53,54,51,53,53,52,52,51,52,52,51,50,49,50,48,47
