,0.0,0.005,0.0101,0.0151,0.0201,0.0251,0.0302,0.0352,0.0402,0.0452,0.0503,0.0553,0.0603,0.0653,0.0704,0.0754,0.0804,0.0854,0.0905,0.0955,0.1005,0.1055,0.1106,0.1156,0.1206,0.1256,0.1307,0.1357,0.1407,0.1457,0.1508,0.1558,0.1608,0.1658,0.1709,0.1759,0.1809,0.1859,0.191,0.196,0.201,0.206,0.2111,0.2161,0.2211,0.2261,0.2312,0.2362,0.2412,0.2462,0.2513,0.2563,0.2613,0.2663,0.2714,0.2764,0.2814,0.2864,0.2915,0.2965,0.3015,0.3065,0.3116,0.3166,0.3216,0.3266,0.3317,0.3367,0.3417,0.3467,0.3518,0.3568,0.3618,0.3668,0.3719,0.3769,0.3819,0.3869,0.392,0.397,0.402,0.407,0.4121,0.4171,0.4221,0.4271,0.4322,0.4372,0.4422,0.4472,0.4523,0.4573,0.4623,0.4673,0.4724,0.4774,0.4824,0.4874,0.4925,0.4975,0.5025,0.5075,0.5126,0.5176,0.5226,0.5276,0.5327,0.5377,0.5427,0.5477,0.5528,0.5578,0.5628,0.5678,0.5729,0.5779,0.5829,0.5879,0.593,0.598,0.603,0.608,0.6131,0.6181,0.6231,0.6281,0.6332,0.6382,0.6432,0.6482,0.6533,0.6583,0.6633,0.6683,0.6734,0.6784,0.6834,0.6884,0.6935,0.6985,0.7035,0.7085,0.7136,0.7186,0.7236,0.7286,0.7337,0.7387,0.7437,0.7487,0.7538,0.7588,0.7638,0.7688,0.7739,0.7789,0.7839,0.7889,0.794,0.799,0.804,0.809,0.8141,0.8191,0.8241,0.8291,0.8342,0.8392,0.8442,0.8492,0.8543,0.8593,0.8643,0.8693,0.8744,0.8794,0.8844,0.8894,0.8945,0.8995,0.9045,0.9095,0.9146,0.9196,0.9246,0.9296,0.9347,0.9397,0.9447,0.9497,0.9548,0.9598,0.9648,0.9698,0.9749,0.9799,0.9849,0.9899,0.995,1.0
Aaj Jaane Ki Zidd Na Karo Bhopal Express 320 Kbps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,5,8,9,9,10,11,12,15,17,18,19,20,20,22,23,23,25,25,25,24,22,20,20,19,18,15,14,14,13,11,10,10,10,10,9,8,7,7,7,7,7,7,8,8,7,7,7,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,4,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandi Jaisa Rang Hai (PenduJatt.Com.Se),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,7,7,8,9,10,11,21,25,37,45,47,61,73,82,96,111,122,136,149,166,180,202,208,219,232,243,245,248,261,265,257,244,238,233,227,220,216,204,188,171,154,150,141,127,109,100,90,84,76,66,60,51,48,46,40,31,28,27,29,28,26,20,17,15,13,12,12,12,12,10,6,5,5,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chithi Na Koi Sandesh Male Dushman 320 Kbps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,3,3,3,4,4,3,3,4,4,4,4,3,3,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,4,4,4,4,4,4,4,3,3,4,5,5,5,5,5,5,5,5,5,6,6,5,5,4,4,4,4,4,4,4,4,4,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chupke Chupke Raat Din Nikaah 320 Kbps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,5,6,8,10,11,13,14,17,19,19,21,24,26,29,32,34,38,42,46,47,46,47,49,50,51,53,52,53,56,51,53,51,48,53,56,57,60,56,55,52,50,47,45,41,38,35,31,26,23,17,14,13,12,11,10,10,6,6,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Tum Itna Jo Muskura Rahe Ho (PenduJatt.Com.Se),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,8,11,13,17,22,29,28,32,34,35,39,42,46,41,42,41,37,36,34,44,46,46,49,51,56,59,58,63,62,63,64,68,72,76,85,85,90,97,99,103,109,107,102,101,95,94,89,88,82,79,81,76,71,67,65,62,58,58,58,58,53,51,46,41,39,40,42,41,39,37,35,37,35,32,30,27,25,25,23,20,19,18,20,15,15,13,13,13,14,12,12,12,10,9,9,8,8,6,6,6,6,6,5,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2
Tum Ko Dekha To Yeh Khayal Aaya Saath Saath 320 Kbps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,4,6,6,9,11,15,14,16,16,16,17,20,18,18,16,16,15,13,13,13,13,11,11,12,12,11,11,9,8,8,10,10,11,10,10,10,9,9,9,9,8,9,8,7,6,6,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
